org,id,login,name,type,site_admin,created_at,updated_at
bloomberg,46710067,vagaerg,Pablo Arteaga,User,False,2019-01-15 10:33:05+00:00,2025-05-08 11:08:03+00:00
bloomberg,2738646,vt0r,Salvatore LaMendola,User,False,2012-11-06 22:20:39+00:00,2025-06-25 01:03:01+00:00
bloomberg,1368129,xouabita,Alexandre ABITA,User,False,2012-01-22 17:22:42+00:00,2025-07-12 02:15:27+00:00
bloomberggraphics,6003769,brittharr,Brittany Harris,User,False,2013-11-21 18:37:42+00:00,2025-07-12 13:50:10+00:00
bostonglobe,846229,daigofuji,Daigo Fujiwara-Smith,User,False,2011-06-13 05:54:38+00:00,2025-08-02 06:39:31+00:00
br-data,1587837,stekhn,Steffen Kühne,User,False,2012-03-29 17:01:50+00:00,2025-07-31 07:00:09+00:00
browninstitute,21013438,alex-calderwood,Alex Calderwood,User,False,2016-08-13 20:47:57+00:00,2025-07-24 05:40:38+00:00
browninstitute,227472,riordan,David Riordan,User,False,2010-03-21 20:34:15+00:00,2025-08-02 21:33:28+00:00
businessinsider,6145283,dawin09,Dawin Camilo Cortés,User,False,2013-12-09 18:32:24+00:00,2025-08-01 17:49:19+00:00
businessinsider,13686332,gabrielreisn,Gabriel Reis,User,False,2015-08-06 23:49:22+00:00,2025-08-01 17:40:45+00:00
businessinsider,493546,gabriensymons,Gabrien Symons,User,False,2010-11-23 15:20:33+00:00,2025-07-12 18:01:44+00:00
businessinsider,2415156,harryhope,Harry Hope,User,False,2012-09-24 21:28:02+00:00,2025-06-24 17:56:40+00:00
businessinsider,1274534,jmmendivil,,User,False,2011-12-20 06:20:14+00:00,2025-07-07 19:18:29+00:00
businessinsider,14146176,luizcieslak,Luiz Fernando da Silva Cieslak,User,False,2015-09-06 06:39:30+00:00,2025-07-26 16:14:46+00:00
buzzfeed,4542049,PSmolic,Petar Smolic,User,False,2013-05-27 17:33:43+00:00,2025-07-22 08:17:49+00:00
buzzfeed,4807680,curseagain,Rebecca,User,False,2013-06-24 20:57:01+00:00,2025-07-28 13:50:04+00:00
buzzfeed,572114,pahko,Francisco Albarran Cristobal,User,False,2011-01-19 06:41:47+00:00,2025-07-31 23:40:12+00:00
buzzfeed-openlab,1900307,WestleyArgentum,Westley Argentum Hennigh-Palermo,User,False,2012-06-27 21:29:56+00:00,2024-04-03 15:28:06+00:00
buzzfeed-openlab,150791,amandabee,Amanda Hickman,User,False,2009-11-09 14:23:39+00:00,2025-05-14 15:54:56+00:00
buzzfeed-openlab,1406537,cathydeng,Cathy Deng,User,False,2012-02-03 20:13:30+00:00,2025-07-29 17:34:48+00:00
buzzfeednews,534702,jsvine,Jeremy Singer-Vine,User,False,2010-12-23 15:48:30+00:00,2025-06-26 02:41:52+00:00
buzzfeednews,3171529,paldhous,Peter Aldhous,User,False,2013-01-02 19:07:09+00:00,2025-07-06 07:40:35+00:00
buzzfeednews,7005290,scottpham,Scott Pham,User,False,2014-03-20 00:28:39+00:00,2025-04-09 21:50:03+00:00
buzzfeednews,2593202,taggartk,Kendall Taggart,User,False,2012-10-18 22:03:30+00:00,2023-01-19 16:59:29+00:00
california-civic-data-coalition,9993,palewire,Ben Welsh,User,False,2008-05-12 03:16:57+00:00,2025-07-30 22:24:04+00:00
calmatters,5900353,BatMiles,Miles Hilton,User,False,2013-11-10 05:54:07+00:00,2024-08-21 20:57:16+00:00
calmatters,13629454,malelew,Mohamed Al Elew,User,False,2015-08-03 17:59:41+00:00,2025-07-09 00:20:23+00:00
calmatters,1535250,soooh,soo oh,User,False,2012-03-14 03:16:15+00:00,2024-10-03 22:02:05+00:00
canalplus,1051458,flegall,Florent Le Gall,User,False,2011-09-14 21:17:56+00:00,2025-07-22 08:35:28+00:00
cbcrc,11539339,RCMax,Maxime Séguin,User,False,2015-03-18 13:34:20+00:00,2022-03-30 14:03:54+00:00
cbcrc,27737437,adruffin-rc,Arnaud Druffin,User,False,2017-04-18 17:52:46+00:00,2017-11-09 15:19:19+00:00
cbcrc,11575718,hugoleclerc,Hugo Leclerc,User,False,2015-03-20 16:56:02+00:00,2025-07-08 17:18:22+00:00
cbcrc,12261450,laurentlbm-rc,Laurent @ Radio-Canada,User,False,2015-05-05 20:51:34+00:00,2022-02-17 17:37:39+00:00
cbcrc,8269312,matstlo,Mat St-Lo,User,False,2014-07-25 16:41:11+00:00,2025-07-15 02:54:48+00:00
cbs-news-data,40156402,as9934,Arijit Sen,User,False,2018-06-11 02:56:55+00:00,2025-06-27 20:13:23+00:00
