org,repo_name,full_name,id,login,user_name,contributions
APMG,apm-titan,APMG/apm-titan,1874117,ghankerson,Geoff Hankerson,17
APMG,apm-titan,APMG/apm-titan,1565141,mattaho,Matt Aho,3
APMG,apm-titan,APMG/apm-titan,15035630,nicepersonality,Lilith Bentley,6
APMG,apm-titan,APMG/apm-titan,19580456,pkooistra,Philip Kooistra,5
APMG,apm-titan,APMG/apm-titan,33332959,talia-storymaker,Talia Hatfield,3
APMG,apmg.github.com,APMG/apmg.github.com,1874117,ghankerson,Geoff Hankerson,1
APMG,apmg.github.com,APMG/apmg.github.com,19593993,jsteen-mpr,,3
APMG,apmg.github.com,APMG/apmg.github.com,671894,micahtaylor,Micah Taylor,4
APMG,apmg.github.com,APMG/apmg.github.com,510790,than,Than Tibbetts,2
APMG,apmgo-ui,APMG/apmgo-ui,1444918,pstjean,Peter St.Jean,1
APMG,audio-backpack,APMG/audio-backpack,17934356,ember-tomster,,1
APMG,audio-backpack,APMG/audio-backpack,634842,justinph,Justin Heideman,260
APMG,audio-backpack,APMG/audio-backpack,1298231,will-in-wi,William Johnston,28
APMG,audio-search,APMG/audio-search,2491,moustaki,Yves Raimond,2
APMG,bragi-api,APMG/bragi-api,180144,abeger,Andy Beger,1
APMG,bragi-api,APMG/bragi-api,1298231,will-in-wi,William Johnston,1
APMG,compare,APMG/compare,180144,abeger,Andy Beger,1
APMG,compare,APMG/compare,49699333,dependabot[bot],,11
APMG,compare,APMG/compare,5025990,etherbob,Andrew Stevenson,5
APMG,compare,APMG/compare,19593993,jsteen-mpr,,14
APMG,dezi-for-drupal,APMG/dezi-for-drupal,99722,karpet,Peter Karman,8
APMG,dezi-for-wordpress,APMG/dezi-for-wordpress,99722,karpet,Peter Karman,18
APMG,dezi-for-wordpress,APMG/dezi-for-wordpress,671894,micahtaylor,Micah Taylor,1
APMG,json-api-unfiltered-content,APMG/json-api-unfiltered-content,187949,pwenzel,Paul Wenzel,2
APMG,lwv-template,APMG/lwv-template,15035630,nicepersonality,Lilith Bentley,15
APMG,mpr-chrome-streamer,APMG/mpr-chrome-streamer,180144,abeger,Andy Beger,1
APMG,mpr-chrome-streamer,APMG/mpr-chrome-streamer,634842,justinph,Justin Heideman,11
APMG,mprnews,APMG/mprnews,31079113,Phanx091,Jason,281
APMG,mprnews,APMG/mprnews,19578776,a-coder,Andrea,10
APMG,mprnews,APMG/mprnews,1874117,ghankerson,Geoff Hankerson,129
APMG,mprnews,APMG/mprnews,25468151,mpr-abond,,13
APMG,mprnews,APMG/mprnews,15035630,nicepersonality,Lilith Bentley,48
APMG,newsnow,APMG/newsnow,634842,justinph,Justin Heideman,1
APMG,oembed_proxy,APMG/oembed_proxy,180144,abeger,Andy Beger,21
APMG,oembed_proxy,APMG/oembed_proxy,5025990,etherbob,Andrew Stevenson,2
APMG,oembed_proxy,APMG/oembed_proxy,1874117,ghankerson,Geoff Hankerson,2
APMG,oembed_proxy,APMG/oembed_proxy,19593993,jsteen-mpr,,4
APMG,oembed_proxy,APMG/oembed_proxy,19093694,llenk,Ellen Keal,4
APMG,oembed_proxy,APMG/oembed_proxy,8053973,nvanderlaan,Nathan Vanderlaan,7
APMG,oembed_proxy,APMG/oembed_proxy,1298231,will-in-wi,William Johnston,2
APMG,php-slimdown,APMG/php-slimdown,180144,abeger,Andy Beger,1
APMG,php-slimdown,APMG/php-slimdown,1298231,will-in-wi,William Johnston,20
APMG,phpsdk,APMG/phpsdk,106330,CrookedNumber,David Moore,1
APMG,phpsdk,APMG/phpsdk,1410587,cavis,cavis,6
APMG,phpsdk,APMG/phpsdk,30158,inadarei,Irakli Nadareishvili,47
APMG,phpsdk,APMG/phpsdk,137058,jhnlsn,John,1
APMG,phpsdk,APMG/phpsdk,1304781,scottsmith130,Scott Smith,62
APMG,pmp-contrib,APMG/pmp-contrib,1410587,cavis,cavis,2
APMG,pmp-contrib,APMG/pmp-contrib,1205061,pkarman,Peter Karman,1
APMG,pmp-sdk-perl,APMG/pmp-sdk-perl,1410587,cavis,cavis,1
APMG,rateitapp,APMG/rateitapp,180144,abeger,Andy Beger,1
APMG,rateitapp,APMG/rateitapp,8053973,nvanderlaan,Nathan Vanderlaan,67
APMG,rateitapp,APMG/rateitapp,1298231,will-in-wi,William Johnston,7
APMG,ruby-slimdown,APMG/ruby-slimdown,5025990,etherbob,Andrew Stevenson,1
APMG,ruby-slimdown,APMG/ruby-slimdown,4764280,gambaroff,Stephania Gambaroff Thomas,1
APMG,ruby-slimdown,APMG/ruby-slimdown,1874117,ghankerson,Geoff Hankerson,2
APMG,ruby-slimdown,APMG/ruby-slimdown,1298231,will-in-wi,William Johnston,33
APMG,search-opensearch-feedparser,APMG/search-opensearch-feedparser,99722,karpet,Peter Karman,3
APMG,skill-share,APMG/skill-share,28447941,eileennoonan83,enoonan,4
APMG,topmusic,APMG/topmusic,180144,abeger,Andy Beger,1
APMG,topmusic,APMG/topmusic,1874117,ghankerson,Geoff Hankerson,2
APMG,wordpress-xml-sitemap,APMG/wordpress-xml-sitemap,187949,pwenzel,Paul Wenzel,48
Aftenposten,185-topp-byraakrater-norge,Aftenposten/185-topp-byraakrater-norge,1225003,torsteinringnes,ringz,4
Aftenposten,Forskjeller-gutter-og-jenter-i-barnehager,Aftenposten/Forskjeller-gutter-og-jenter-i-barnehager,5064277,eirikwallemfossan,Eirik Wallem Fossan,4
Aftenposten,Forskjeller-gutter-og-jenter-i-barnehager,Aftenposten/Forskjeller-gutter-og-jenter-i-barnehager,808950,jlom,Jørgen Arnor G. Lom,1
Aftenposten,aftenposten.github.io,Aftenposten/aftenposten.github.io,1139198,eeue56,Noah,1
Aftenposten,covid-avgangstabell-august,Aftenposten/covid-avgangstabell-august,3648128,freht,Fredrik Thoresen,2
Aftenposten,valg,Aftenposten/valg,808950,jlom,Jørgen Arnor G. Lom,10
Aftenposten,valg,Aftenposten/valg,17871168,smu095,,7
Arizona-Republic-Data,Arizona-Republic-Data.github.io,Arizona-Republic-Data/Arizona-Republic-Data.github.io,70827533,sahanasjay,,3
Arizona-Republic-Data,National-Forest-Project,Arizona-Republic-Data/National-Forest-Project,54641525,crmcglade,Caitlin McGlade,38
BBC-Data-Unit,A-E-closures,BBC-Data-Unit/A-E-closures,633839,paulbradshaw,Paul Bradshaw,5
BBC-Data-Unit,Christmas-travel,BBC-Data-Unit/Christmas-travel,633839,paulbradshaw,Paul Bradshaw,6
BBC-Data-Unit,Coronavirus-GPs,BBC-Data-Unit/Coronavirus-GPs,32837535,Alex-Homer,,4
BBC-Data-Unit,Coronavirus-GPs,BBC-Data-Unit/Coronavirus-GPs,633839,paulbradshaw,Paul Bradshaw,3
BBC-Data-Unit,Coronavirus-Retired-police,BBC-Data-Unit/Coronavirus-Retired-police,32837535,Alex-Homer,,1
BBC-Data-Unit,Coronavirus-Retired-police,BBC-Data-Unit/Coronavirus-Retired-police,633839,paulbradshaw,Paul Bradshaw,4
BBC-Data-Unit,Coronavirus-air-pollution,BBC-Data-Unit/Coronavirus-air-pollution,32837535,Alex-Homer,,10
BBC-Data-Unit,Coronavirus-air-pollution,BBC-Data-Unit/Coronavirus-air-pollution,60131983,annaekhoo,,2
BBC-Data-Unit,Coronavirus-air-pollution,BBC-Data-Unit/Coronavirus-air-pollution,633839,paulbradshaw,Paul Bradshaw,7
BBC-Data-Unit,Coronavirus-bus-firms-struggle,BBC-Data-Unit/Coronavirus-bus-firms-struggle,633839,paulbradshaw,Paul Bradshaw,4
BBC-Data-Unit,Coronavirus-clean-air-zones,BBC-Data-Unit/Coronavirus-clean-air-zones,32837535,Alex-Homer,,6
BBC-Data-Unit,Coronavirus-clean-air-zones,BBC-Data-Unit/Coronavirus-clean-air-zones,633839,paulbradshaw,Paul Bradshaw,4
BBC-Data-Unit,Coronavirus-fsm,BBC-Data-Unit/Coronavirus-fsm,633839,paulbradshaw,Paul Bradshaw,2
BBC-Data-Unit,Coronavirus-workfromhome-liveblog,BBC-Data-Unit/Coronavirus-workfromhome-liveblog,633839,paulbradshaw,Paul Bradshaw,4
BBC-Data-Unit,Council_cuts_during_the_pandemic,BBC-Data-Unit/Council_cuts_during_the_pandemic,32837535,Alex-Homer,,8
BBC-Data-Unit,Council_cuts_during_the_pandemic,BBC-Data-Unit/Council_cuts_during_the_pandemic,633839,paulbradshaw,Paul Bradshaw,3
BBC-Data-Unit,Council_cuts_during_the_pandemic,BBC-Data-Unit/Council_cuts_during_the_pandemic,61186777,paullynchmedia,,13
BBC-Data-Unit,DLA-to-PIP,BBC-Data-Unit/DLA-to-PIP,184932408,jomorris-sdu,,4
BBC-Data-Unit,DLA-to-PIP,BBC-Data-Unit/DLA-to-PIP,633839,paulbradshaw,Paul Bradshaw,1
BBC-Data-Unit,EU-workers-NHS,BBC-Data-Unit/EU-workers-NHS,32837535,Alex-Homer,,5
BBC-Data-Unit,EU-workers-NHS,BBC-Data-Unit/EU-workers-NHS,633839,paulbradshaw,Paul Bradshaw,7
BBC-Data-Unit,Festivals_2022,BBC-Data-Unit/Festivals_2022,32837535,Alex-Homer,,3
BBC-Data-Unit,Festivals_2022,BBC-Data-Unit/Festivals_2022,633839,paulbradshaw,Paul Bradshaw,1
BBC-Data-Unit,Festivals_2022,BBC-Data-Unit/Festivals_2022,61186777,paullynchmedia,,7
BBC-Data-Unit,Heathrow-noise,BBC-Data-Unit/Heathrow-noise,633839,paulbradshaw,Paul Bradshaw,8
BBC-Data-Unit,Holiday_food_vouchers,BBC-Data-Unit/Holiday_food_vouchers,61186777,paullynchmedia,,7
BBC-Data-Unit,Hormone_replacement_therapy,BBC-Data-Unit/Hormone_replacement_therapy,633839,paulbradshaw,Paul Bradshaw,1
BBC-Data-Unit,Hormone_replacement_therapy,BBC-Data-Unit/Hormone_replacement_therapy,74192940,samferguson10,,10
BBC-Data-Unit,Liquidations_rise,BBC-Data-Unit/Liquidations_rise,61186777,paullynchmedia,,11
BBC-Data-Unit,Liquidations_rise,BBC-Data-Unit/Liquidations_rise,67434340,pilartms,Pilar Tomás,1
BBC-Data-Unit,NHS_dentists,BBC-Data-Unit/NHS_dentists,32837535,Alex-Homer,,1
BBC-Data-Unit,NHS_dentists,BBC-Data-Unit/NHS_dentists,633839,paulbradshaw,Paul Bradshaw,1
BBC-Data-Unit,NHS_dentists,BBC-Data-Unit/NHS_dentists,74192940,samferguson10,,2
BBC-Data-Unit,NHS_workforce_crisis,BBC-Data-Unit/NHS_workforce_crisis,32837535,Alex-Homer,,28
BBC-Data-Unit,NHS_workforce_crisis,BBC-Data-Unit/NHS_workforce_crisis,633839,paulbradshaw,Paul Bradshaw,2
BBC-Data-Unit,NHS_workforce_crisis,BBC-Data-Unit/NHS_workforce_crisis,61186777,paullynchmedia,,4
BBC-Data-Unit,Nottingham-Covid,BBC-Data-Unit/Nottingham-Covid,633839,paulbradshaw,Paul Bradshaw,3
BBC-Data-Unit,Pregabalin,BBC-Data-Unit/Pregabalin,633839,paulbradshaw,Paul Bradshaw,7
BBC-Data-Unit,Recycling-rates,BBC-Data-Unit/Recycling-rates,633839,paulbradshaw,Paul Bradshaw,5
BBC-Data-Unit,Smuggled-mobiles-in-prisons,BBC-Data-Unit/Smuggled-mobiles-in-prisons,32837535,Alex-Homer,,12
BBC-Data-Unit,Synthetic_opioids,BBC-Data-Unit/Synthetic_opioids,32837535,Alex-Homer,,13
BBC-Data-Unit,Synthetic_opioids,BBC-Data-Unit/Synthetic_opioids,61186777,paullynchmedia,,7
BBC-Data-Unit,Toxic_land,BBC-Data-Unit/Toxic_land,633839,paulbradshaw,Paul Bradshaw,2
