Organization,Type,Github
NewsApps.io,News Industry,https://github.com/newsappsio
Newsday,Newsroom,https://github.com/newsday
NewsLynx,News Industry,https://github.com/newslynx
Newsweek,Newsroom,https://github.com/newsweek
Nieman Lab,News Industry,https://github.com/niemanlab
Northwestern U. Knight Lab,News Industry,https://github.com/NUKnightLab
NPR Tech,Newsroom,https://github.com/npr
NPR Viz,Newsroom,https://github.com/nprapps
NRK (Norway),Newsroom,https://github.com/nrkno
NZZ,Newsroom,https://github.com/nzzdev
OCCRP,Newsroom,https://github.com/occrp
OCCRP Aleph,News Industry,https://github.com/alephdata
Onion,Newsroom,https://github.com/theonion
OpenElections,News Industry,https://github.com/openelections
OpenNews,News Industry,https://github.com/openNews
OpenNews Labs,News Industry,https://github.com/opennewslabs
OpenStates,News Industry,https://github.com/openstates
Orlando Sentinel,Newsroom,https://github.com/OrlandoSentinel
Open Secrets,Newsroom,https://github.com/opensecrets
Overview Project,News Industry,https://github.com/overview
Palm Beach Post,Newsroom,https://github.com/PalmBeachPost
PBS NewsHour,Newsroom,https://github.com/newshour
Philly.com,Newsroom,https://github.com/phillymedia
Pitch Interactive,News Industry,https://github.com/PitchInteractiveInc
Pitchfork,Newsroom,https://github.com/pitchfork
Poderopedia,News Industry,https://github.com/poderopedia
PolicyMic,News Industry,https://github.com/policymic
Politibot,News Industry,https://github.com/politibot
Politico,Newsroom,https://github.com/the-politico
Polygraph,Newsroom,https://github.com/polygraph-cool
Portland Oregonian,Newsroom,https://github.com/TheOregonian
Portland Oregonian (Old Account),Newsroom,https://github.com/oregonian
POV,News Industry,https://github.com/povdocs
Proof News,Newsroom,https://github.com/ProofNews
ProPublica,Newsroom,https://github.com/propublica
PRX,Newsroom,https://github.com/PRX
Public Radio International,Newsroom,https://github.com/PublicRadioInternational
PublicSource (Pittsburgh),Newsroom,https://github.com/publicsource
Pudding,Newsroom,https://github.com/the-pudding
Quartz,Newsroom,https://github.com/quartz
Quartz Bot Studio,Newsroom,https://github.com/quartz-bot-studio
Radio France,Newsroom,https://github.com/radiofrance
Radio Free Europe/Radio Liberty,Newsroom,https://github.com/rferl
Rappler,Newsroom,https://github.com/TheRapplers
Reese News Lab,News Industry,https://github.com/reesenewslab
Register-Guard (Eugene Ore.),Newsroom,https://github.com/registerguard
Reporter 報導者,Newsroom,https://github.com/twreporter
Rest of World,Newsroom,https://github.com/row-engineering
Reuters,Newsroom,https://github.com/thomsonreuters
Reuters Graphics,Newsroom,https://github.com/reuters-graphics
Reynolds Journalism Institute,News Industry,https://github.com/rji-futures-lab
Süddeutsche Zeitung,Newsroom,https://github.com/sueddeutsche
